FUNCAO,STATUS,Dialect,8,9,10,11
ABS,NOK,OK,S,S,S,S
ABSVAL,NOK,NOK,S,S,S,S
ACOS,NOK,OK,S,S,S,S
ADD_DAYS,NOK,NOK,S,S,S,S
ADD_HOURS,NOK,NOK,S,S,S,S
ADD_MINUTES,NOK,NOK,S,S,S,S
ADD_MONTHS,NOK,NOK,S,S,S,S
ADD_SECONDS,NOK,NOK,S,S,S,S
ADD_YEARS,NOK,NOK,S,S,S,S
ARRAY_AGG,NOK,NOK,N,N,N,S
ARRAY_DELETE,NOK,NOK,N,N,N,S
ARRAY_FIRST,NOK,NOK,N,N,N,S
ARRAY_LAST,NOK,NOK,N,N,N,S
ARRAY_NEXT,NOK,NOK,N,N,N,S
ARRAY_PRIOR,NOK,NOK,N,N,N,S
ASIN,NOK,OK,S,S,S,S
ATAN,NOK,OK,S,S,S,S
ATAN2,NOK,OK,S,S,S,S
AVG,OK,OK,S,S,S,S
BIGINT,OK,OK,S,S,S,S
BINARY,OK,NOK,S,S,S,S
BITAND,NOK,NOK,S,S,S,S
BITANDNOT,NOK,NOK,S,S,S,S
BITNOT,NOK,NOK,S,S,S,S
BITOR,NOK,NOK,S,S,S,S
BITXOR,NOK,NOK,S,S,S,S
BLOB,OK,NOK,S,S,S,S
BPCHAR,NOK,NOK,S,S,S,S
BSON_TO_JSON,NOK,NOK,S,S,S,S
CARDINALITY,NOK,NOK,S,S,S,S
CCSID_ENCODING,NOK,NOK,S,S,S,S
CHAR,OK,OK,S,S,S,S
CHR,NOK,NOK,S,S,S,S
CLOB,OK,NOK,S,S,S,S
COALESCE,OK,OK,S,S,S,S
CODEUNITS16,NOK,NOK,S,S,S,S
CODEUNITS32,NOK,NOK,S,S,S,S
CORRELATION,NOK,NOK,S,S,S,S
COS,NOK,OK,S,S,S,S
COSH,NOK,NOK,S,S,S,S
COT,NOK,OK,S,S,S,S
COUNT,OK,OK,S,S,S,S
COUNT_BIG,OK,OK,S,S,S,S
COVARIANCE,NOK,NOK,S,S,S,S
COVARIANCE_SAMP,NOK,NOK,S,S,S,S
CUME_DIST,OK,OK,S,S,S,S
CURDATE,NOK,NOK,S,S,S,S
CURRENT DATE,OK,OK,S,S,S,S
CURRENT TIME,OK,OK,S,S,S,S
CURRENT TIMESTAMP,OK,OK,S,S,S,S
CURRENT TIMEZONE,NOK,NOK,S,S,S,S
DATAPARTITIONNAME,NOK,NOK,S,S,S,S
DATE,OK,OK,S,S,S,S
DATE_TRUNC,NOK,NOK,S,S,S,S
DATETIME,OK,NOK,S,S,S,S
DAY,OK,OK,S,S,S,S
DAYNAME,NOK,OK,S,S,S,S
DAYOFMONTH,NOK,OK,S,S,S,S
DAYOFWEEK,NOK,OK,S,S,S,S
DAYOFWEEK_ISO,NOK,OK,S,S,S,S
DAYOFYEAR,NOK,OK,S,S,S,S
DAYS,OK,OK,S,S,S,S
DBCLOB,NOK,NOK,S,S,S,S
DEC,NOK,NOK,S,S,S,S
DECFLOAT,NOK,NOK,S,S,S,S
DECFLOAT_FORMAT,NOK,NOK,S,S,S,S
DECFLOAT_SORTKEY,NOK,NOK,S,S,S,S
DECIMAL,OK,OK,S,S,S,S
DECODE,NOK,NOK,S,S,S,S
DEGREES,NOK,OK,S,S,S,S
DENSE_RANK,OK,OK,S,S,S,S
DIV,NOK,NOK,S,S,S,S
DOUBLE,OK,OK,S,S,S,S
DOUBLE_PRECISION,NOK,NOK,S,S,S,S
EMPTY_BLOB,NOK,NOK,S,S,S,S
EMPTY_CLOB,NOK,NOK,S,S,S,S
EMPTY_DBCLOB,NOK,NOK,S,S,S,S
EMPTY_NCLOB,NOK,NOK,S,S,S,S
EOMONTH,NOK,NOK,S,S,S,S
EXP,NOK,OK,S,S,S,S
EXTRACT,NOK,OK,S,S,S,S
FIRST_VALUE,OK,OK,S,S,S,S
FLOAT,OK,OK,S,S,S,S
FLOAT4,NOK,NOK,S,S,S,S
FLOAT8,NOK,NOK,S,S,S,S
FLOOR,NOK,OK,S,S,S,S
GENERATION_EXPRESSION,NOK,NOK,S,S,S,S
GETHINT,NOK,NOK,S,S,S,S
GRAPHIC,NOK,NOK,S,S,S,S
GROUPING,NOK,NOK,S,S,S,S
HASH,NOK,NOK,S,S,S,S
HOUR,OK,OK,S,S,S,S
INT,OK,OK,S,S,S,S
INTEGER,OK,OK,S,S,S,S
JSON_ARRAY,NOK,NOK,N,N,N,S
JSON_ARRAYAGG,NOK,NOK,N,N,N,S
JSON_OBJECT,NOK,NOK,N,N,N,S
JSON_OBJECTAGG,NOK,NOK,N,N,N,S
JSON_QUERY,OK,OK,N,N,N,S
JSON_TABLE,OK,NOK,N,N,N,S
JSON_TO_BSON,NOK,NOK,N,N,N,S
JSON_VALUE,OK,OK,N,N,N,S
JULIAN_DAY,NOK,NOK,S,S,S,S
LAG,OK,OK,S,S,S,S
LAST_DAY,NOK,OK,S,S,S,S
LAST_VALUE,OK,OK,S,S,S,S
LEAD,OK,OK,S,S,S,S
LISTAGG,OK,OK,S,S,S,S
LN,NOK,OK,S,S,S,S
LOCATE,NOK,OK,S,S,S,S
LOCATE_IN_STRING,NOK,NOK,S,S,S,S
LOG,NOK,NOK,S,S,S,S
LOG10,NOK,OK,S,S,S,S
LOWER,OK,OK,S,S,S,S
LPAD,NOK,OK,S,S,S,S
LTRIM,NOK,OK,S,S,S,S
MAX,OK,OK,S,S,S,S
MAX_CARDINALITY,NOK,NOK,S,S,S,S
MEDIAN,NOK,NOK,S,S,S,S
MIDNIGHT_SECONDS,NOK,NOK,S,S,S,S
MIN,OK,OK,S,S,S,S
MINUTE,OK,OK,S,S,S,S
MOD,NOK,OK,S,S,S,S
MONTH,OK,OK,S,S,S,S
MONTHNAME,NOK,OK,S,S,S,S
MONTHS_BETWEEN,NOK,NOK,S,S,S,S
NEXT_DAY,NOK,NOK,S,S,S,S
NORMALIZE_DECFLOAT,NOK,NOK,S,S,S,S
NORMALIZE_STRING,NOK,NOK,S,S,S,S
NTILE,OK,OK,S,S,S,S
NULLIF,OK,OK,S,S,S,S
NVL,OK,OK,S,S,S,S
NVL2,NOK,NOK,S,S,S,S
OVERLAY,NOK,NOK,S,S,S,S
PERCENT_RANK,OK,OK,S,S,S,S
PERCENTILE_CONT,NOK,NOK,S,S,S,S
PERCENTILE_DISC,NOK,NOK,S,S,S,S
POSSTR,NOK,NOK,S,S,S,S
POWER,NOK,OK,S,S,S,S
QUANTIZE,NOK,NOK,S,S,S,S
QUARTER,NOK,OK,S,S,S,S
RADIANS,NOK,OK,S,S,S,S
RAISE_ERROR,NOK,NOK,S,S,S,S
RAND,NOK,NOK,S,S,S,S
RANK,OK,OK,S,S,S,S
RATIO_TO_REPORT,NOK,NOK,S,S,S,S
REAL,OK,OK,S,S,S,S
REGEXP_COUNT,NOK,NOK,N,N,N,S
REGEXP_INSTR,NOK,NOK,N,N,N,S
REGEXP_LIKE,NOK,NOK,N,N,N,S
REGEXP_REPLACE,NOK,NOK,N,N,N,S
