FUNCAO,STATUS,Dialect,103,105,106,110
_ROWID,OK,NOK,S,S,S,S
ABS,OK,NOK,S,S,S,S
ACOS,OK,NOK,S,S,S,S
ADD_MONTHS,OK,NOK,S,S,S,S
ADDDATE,OK,NOK,S,S,S,S
ADDTIME,OK,NOK,S,S,S,S
AES_DECRYPT,OK,NOK,S,S,S,S
AES_ENCRYPT,OK,NOK,S,S,S,S
ASCII,OK,NOK,S,S,S,S
ASIN,OK,NOK,S,S,S,S
ATAN,OK,NOK,S,S,S,S
ATAN2,OK,NOK,S,S,S,S
AVG,OK,NOK,S,S,S,S
BENCHMARK,OK,NOK,S,S,S,S
BIN,OK,NOK,S,S,S,S
BINARY,OK,NOK,S,S,S,S
BIT_AND,OK,NOK,S,S,S,S
BIT_COUNT,OK,NOK,S,S,S,S
BIT_LENGTH,OK,NOK,S,S,S,S
BIT_OR,OK,NOK,S,S,S,S
BIT_XOR,OK,NOK,S,S,S,S
CASE,OK,NOK,S,S,S,S
CAST,OK,NOK,S,S,S,S
CEIL,OK,NOK,S,S,S,S
CEILING,OK,NOK,S,S,S,S
CHAR,OK,NOK,S,S,S,S
CHAR_LENGTH,OK,NOK,S,S,S,S
CHARACTER_LENGTH,OK,NOK,S,S,S,S
CHARSET,OK,NOK,S,S,S,S
CHR,OK,NOK,S,S,S,S
COERCIBILITY,OK,NOK,S,S,S,S
COLLATION,OK,NOK,S,S,S,S
COLUMN_ADD,OK,NOK,S,S,S,S
COLUMN_CHECK,OK,NOK,S,S,S,S
COLUMN_CREATE,OK,NOK,S,S,S,S
COLUMN_DELETE,OK,NOK,S,S,S,S
COLUMN_EXISTS,OK,NOK,S,S,S,S
COLUMN_GET,OK,NOK,S,S,S,S
COLUMN_JSON,OK,NOK,S,S,S,S
COLUMN_LIST,OK,NOK,S,S,S,S
COMPRESS,OK,NOK,S,S,S,S
CONCAT,OK,NOK,S,S,S,S
CONCAT_WS,OK,NOK,S,S,S,S
CONNECTION_ID,OK,NOK,S,S,S,S
CONV,OK,NOK,S,S,S,S
CONVERT,OK,NOK,S,S,S,S
CONVERT_TZ,OK,NOK,S,S,S,S
COS,OK,NOK,S,S,S,S
COT,OK,NOK,S,S,S,S
COUNT,OK,NOK,S,S,S,S
COUNT DISTINCT,OK,NOK,S,S,S,S
CRC32,OK,NOK,S,S,S,S
CRC32C,OK,NOK,S,S,S,S
CREATE SEQUENCE,OK,OK,S,S,S,S
CURDATE,OK,NOK,S,S,S,S
CURRENT_DATE,OK,NOK,S,S,S,S
CURRENT_TIME,OK,NOK,S,S,S,S
CURRENT_TIMESTAMP,OK,NOK,S,S,S,S
CURTIME,OK,NOK,S,S,S,S
DATABASE,OK,NOK,S,S,S,S
DATE,OK,NOK,S,S,S,S
DATE_ADD,OK,NOK,S,S,S,S
DATE_FORMAT,OK,NOK,S,S,S,S
DATE_SUB,OK,NOK,S,S,S,S
DATEDIFF,OK,NOK,S,S,S,S
DAY,OK,NOK,S,S,S,S
DAYNAME,OK,NOK,S,S,S,S
DAYOFMONTH,OK,NOK,S,S,S,S
DAYOFWEEK,OK,NOK,S,S,S,S
DAYOFYEAR,OK,NOK,S,S,S,S
DECODE,OK,NOK,S,S,S,S
DECODE_ORACLE,OK,NOK,S,S,S,S
DEFAULT,OK,NOK,S,S,S,S
DEGREES,OK,NOK,S,S,S,S
DES_DECRYPT,OK,NOK,S,S,S,S
DES_ENCRYPT,OK,NOK,S,S,S,S
DIV,OK,NOK,S,S,S,S
DROP SEQUENCE,OK,OK,S,S,S,S
ELT,OK,NOK,S,S,S,S
