FUNCAO,STATUS,Dialect,103,105,106,110
BINLOG_GTID_POS,NOK,NOK,S,S,S,S
CURRENT_ROLE,OK,NOK,S,S,S,S
CURRENT_USER,OK,NOK,S,S,S,S
DBMS_OUTPUT,NOK,NOK,S,S,S,S
DECODE_HISTOGRAM,NOK,NOK,S,S,S,S
GET_LOCK,NOK,NOK,S,S,S,S
IS_FREE_LOCK,NOK,NOK,S,S,S,S
IS_USED_LOCK,NOK,NOK,S,S,S,S
LOAD_FILE,NOK,NOK,S,S,S,S
MASTER_GTID_WAIT,NOK,NOK,S,S,S,S
MASTER_POS_WAIT,NOK,NOK,S,S,S,S
OLD_PASSWORD,NOK,NOK,S,S,S,S
PASSWORD,NOK,NOK,S,S,S,S
PROCEDURE ANALYSE,NOK,NOK,S,S,S,S
RELEASE_ALL_LOCKS,NOK,NOK,S,S,S,S
RELEASE_LOCK,NOK,NOK,S,S,S,S
