FUNCAO,STATUS,30,40,55,56,57,80,84
->,OK,N,N,N,S,S,S,S
->>,OK,N,N,N,S,S,S,N
ABS,NOK,S,S,S,S,S,S,N
ACOS,NOK,S,S,S,S,S,S,S
ADDDATE,NOK,S,S,S,S,S,S,N
ADDTIME,NOK,S,S,S,S,S,S,S
AES_DECRYPT,NOK,S,S,S,S,S,S,N
AES_ENCRYPT,NOK,S,S,S,S,S,S,S
ANY_VALUE,NOK,N,N,N,S,S,S,S
AREA,NOK,N,N,N,S,S,N,N
ASBINARY,NOK,N,N,N,S,S,N,N
ASCII,NOK,S,S,S,S,S,S,N
ASIN,NOK,S,S,S,S,S,S,S
ASTEXT,NOK,N,N,N,S,S,N,N
ASYNCHRONOUS_CONNECTION_FAILOVER_ADD_MANAGED,NOK,N,N,N,N,N,S,N
ASYNCHRONOUS_CONNECTION_FAILOVER_ADD_SOURCE,NOK,N,N,N,N,N,S,S
ASYNCHRONOUS_CONNECTION_FAILOVER_DELETE_MANAGED,NOK,N,N,N,N,N,S,N
ASYNCHRONOUS_CONNECTION_FAILOVER_DELETE_SOURCE,NOK,N,N,N,N,N,S,S
ASYNCHRONOUS_CONNECTION_FAILOVER_RESET,NOK,N,N,N,N,N,S,N
ATAN,NOK,S,S,S,S,S,S,S
ATAN2,NOK,S,S,S,S,S,S,N
AVG,OK,S,S,S,S,S,S,S
BENCHMARK,NOK,S,S,S,S,S,S,N
BIN,NOK,S,S,S,S,S,S,N
BIN_TO_UUID,NOK,N,N,N,N,N,S,S
BIT_AND,NOK,S,S,S,S,S,S,S
BIT_COUNT,NOK,S,S,S,S,S,S,N
BIT_LENGTH,NOK,S,S,S,S,S,S,S
BIT_OR,NOK,S,S,S,S,S,S,N
BIT_XOR,NOK,S,S,S,S,S,S,S
BUFFER,NOK,N,N,N,S,S,N,N
CAN_ACCESS_COLUMN,NOK,N,N,N,N,N,S,N
CAN_ACCESS_DATABASE,NOK,N,N,N,N,N,S,S
CAN_ACCESS_TABLE,NOK,N,N,N,N,N,S,N
CAN_ACCESS_USER,NOK,N,N,N,N,N,S,S
CAN_ACCESS_VIEW,NOK,N,N,N,N,N,S,N
CAST,OK,S,S,S,S,S,S,N
CEIL,NOK,S,S,S,S,S,S,S
CEILING,NOK,S,S,S,S,S,S,N
CENTROID,NOK,N,N,N,S,S,N,N
CHAR,OK,S,S,S,S,S,S,S
