FUNCAO,STATUS,Dialect,30,40,55,56,57,80,84
PROCEDURE ANALYSE,NOK,NOK,N,N,N,S,S,N,N
PS_CURRENT_THREAD_ID,NOK,NOK,N,N,N,N,N,S,N
PS_THREAD_ID,NOK,NOK,N,N,N,N,N,S,S
AREA,NOK,NOK,N,N,N,S,S,N,N
ASBINARY,NOK,NOK,N,N,N,S,S,N,N
ASTEXT,NOK,NOK,N,N,N,S,S,N,N
ASYNCHRONOUS_CONNECTION_FAILOVER_ADD_MANAGED,NOK,NOK,N,N,N,N,N,S,N
ASYNCHRONOUS_CONNECTION_FAILOVER_ADD_SOURCE,NOK,NOK,N,N,N,N,N,S,S
ASYNCHRONOUS_CONNECTION_FAILOVER_DELETE_MANAGED,NOK,NOK,N,N,N,N,N,S,N
ASYNCHRONOUS_CONNECTION_FAILOVER_DELETE_SOURCE,NOK,NOK,N,N,N,N,N,S,S
ASYNCHRONOUS_CONNECTION_FAILOVER_RESET,NOK,NOK,N,N,N,N,N,S,N
BENCHMARK,NOK,NOK,S,S,S,S,S,S,N
BUFFER,NOK,NOK,N,N,N,S,S,N,N
CAN_ACCESS_COLUMN,NOK,NOK,N,N,N,N,N,S,N
CAN_ACCESS_DATABASE,NOK,NOK,N,N,N,N,N,S,S
CAN_ACCESS_TABLE,NOK,NOK,N,N,N,N,N,S,N
CAN_ACCESS_USER,NOK,NOK,N,N,N,N,N,S,S
CAN_ACCESS_VIEW,NOK,NOK,N,N,N,N,N,S,N
CENTROID,NOK,NOK,N,N,N,S,S,N,N
CONTAINS,NOK,NOK,N,N,N,S,S,N,N
CONVEXHULL,NOK,NOK,N,N,N,S,S,N,N
CROSSES,NOK,NOK,N,N,N,S,S,N,N
CURRENT_ROLE,NOK,NOK,N,N,N,N,N,S,S
DIMENSION,NOK,NOK,N,N,N,S,S,N,N
DISJOINT,NOK,NOK,N,N,N,S,S,N,N
DISTANCE,NOK,NOK,N,N,N,S,S,N,N
ENDPOINT,NOK,NOK,N,N,N,S,S,N,N
ENVELOPE,NOK,NOK,N,N,N,S,S,N,N
EQUALS,NOK,NOK,N,N,N,S,S,N,N
EXTERIORRING,NOK,NOK,N,N,N,S,S,N,N
GEOMCOLLECTION,NOK,NOK,N,N,N,N,N,S,N
GEOMCOLLFROMTEXT,NOK,NOK,N,N,N,S,S,N,N
GEOMCOLLFROMWKB,NOK,NOK,N,N,N,S,S,N,N
GEOMETRYCOLLECTION,NOK,NOK,N,N,N,S,S,S,S
GEOMETRYN,NOK,NOK,N,N,N,S,S,N,N
GEOMETRYTYPE,NOK,NOK,N,N,N,S,S,N,N
GEOMFROMTEXT,NOK,NOK,N,N,N,S,S,N,N
GEOMFROMWKB,NOK,NOK,N,N,N,S,S,N,N
GET_DD_COLUMN_PRIVILEGES,NOK,NOK,N,N,N,N,N,S,N
GET_DD_CREATE_OPTIONS,NOK,NOK,N,N,N,N,N,S,S
GET_DD_INDEX_SUB_PART_LENGTH,NOK,NOK,N,N,N,N,N,S,N
GET_LOCK,NOK,NOK,S,S,S,S,S,S,N
GLENGTH,NOK,NOK,N,N,N,S,S,N,N
GROUP_REPLICATION_DISABLE_MEMBER_ACTION,NOK,NOK,N,N,N,N,N,S,S
GROUP_REPLICATION_ENABLE_MEMBER_ACTION,NOK,NOK,N,N,N,N,N,S,N
GROUP_REPLICATION_GET_COMMUNICATION_PROTOCOL,NOK,NOK,N,N,N,N,N,S,S
GROUP_REPLICATION_GET_WRITE_CONCURRENCY,NOK,NOK,N,N,N,N,N,S,N
GROUP_REPLICATION_RESET_MEMBER_ACTIONS,NOK,NOK,N,N,N,N,N,S,S
GROUP_REPLICATION_SET_AS_PRIMARY,NOK,NOK,N,N,N,N,N,S,N
GROUP_REPLICATION_SET_COMMUNICATION_PROTOCOL,NOK,NOK,N,N,N,N,N,S,S
GROUP_REPLICATION_SET_WRITE_CONCURRENCY,NOK,NOK,N,N,N,N,N,S,N
GROUP_REPLICATION_SWITCH_TO_MULTI_PRIMARY_MODE,NOK,NOK,N,N,N,N,N,S,S
GROUP_REPLICATION_SWITCH_TO_SINGLE_PRIMARY_MODE,NOK,NOK,N,N,N,N,N,S,N
GTID_SUBSET,NOK,NOK,N,N,N,S,S,S,N
GTID_SUBTRACT,NOK,NOK,N,N,N,S,S,S,N
ICU_VERSION,NOK,NOK,N,N,N,N,N,S,N
INTERIORRINGN,NOK,NOK,N,N,N,S,S,N,N
INTERNAL_AUTO_INCREMENT,NOK,NOK,N,N,N,N,N,S,N
INTERNAL_AVG_ROW_LENGTH,NOK,NOK,N,N,N,N,N,S,S
