FUNCAO,STATUS,6,7,8,9,10,11,12,13,14,15,16,17
ABBREV,NOK,S,S,S,S,S,S,S,S,S,S,S,S
ABS,NOK,N,N,S,N,S,S,S,S,S,S,S,S
ACLDEFAULT,NOK,N,N,N,N,N,N,S,S,S,S,S,S
ACLEXPLODE,NOK,N,N,N,N,N,N,S,S,S,S,S,S
ACOS,NOK,N,N,S,N,N,N,N,S,S,S,S,S
ACOSD,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ACOSH,NOK,N,N,N,N,N,N,N,S,S,S,S,S
AGE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
ANY,OK,N,N,S,S,S,S,S,S,S,S,S,S
ANY_VALUE,NOK,N,N,N,N,N,N,N,N,N,N,S,S
AREA,NOK,N,N,S,S,S,S,S,S,S,S,S,S
ARRAY_AGG,NOK,N,N,N,S,S,S,S,S,S,S,S,S
ARRAY_APPEND,NOK,N,N,S,S,S,S,S,S,S,S,S,S
ARRAY_CAT,NOK,N,N,S,S,S,S,S,S,S,S,S,S
ARRAY_DIMS,NOK,N,N,S,S,S,S,S,S,S,S,S,S
ARRAY_FILL,NOK,N,N,N,S,S,S,S,S,S,S,S,S
ARRAY_LENGTH,NOK,N,N,N,S,S,S,S,S,S,S,S,S
ARRAY_LOWER,NOK,N,N,S,S,S,S,S,S,S,S,S,S
ARRAY_NDIMS,NOK,N,N,N,S,S,S,S,S,S,S,S,S
ARRAY_POSITION,NOK,N,N,N,N,S,S,S,S,S,S,S,S
ARRAY_POSITIONS,NOK,N,N,N,N,S,S,S,S,S,S,S,S
ARRAY_PREPEND,NOK,N,N,S,S,S,S,S,S,S,S,S,S
ARRAY_REMOVE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
ARRAY_REPLACE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
ARRAY_SAMPLE,NOK,N,N,N,N,N,N,N,N,N,N,S,S
ARRAY_SHUFFLE,NOK,N,N,N,N,N,N,N,N,N,N,S,S
ARRAY_TO_JSON,NOK,N,N,N,N,S,S,S,S,S,S,S,S
ARRAY_TO_STRING,NOK,N,N,S,S,S,S,S,S,S,S,S,S
ARRAY_TO_TSVECTOR,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ARRAY_UPPER,NOK,N,N,S,S,S,S,S,S,S,S,S,S
ASCII,NOK,N,N,S,N,N,N,N,S,S,S,S,S
ASIN,NOK,N,N,S,N,N,N,N,S,S,S,S,S
ASIND,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ASINH,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ATAN,NOK,N,N,S,N,N,N,N,S,S,S,S,S
