FUNCAO,STATUS,Dialect,6,7,8,9,10,11,12,13,14,15,16,17
ABBREV,NOK,NOK,S,S,S,S,S,S,S,S,S,S,S,S
ABS,OK,OK,N,N,S,N,S,S,S,S,S,S,S,S
ACLDEFAULT,NOK,NOK,N,N,N,N,N,N,S,S,S,S,S,S
ACLEXPLODE,NOK,NOK,N,N,N,N,N,N,S,S,S,S,S,S
ACOS,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
ACOSD,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ACOSH,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
AGE,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
ANY,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
ANY_VALUE,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
AREA,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
ARRAY_AGG,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
ARRAY_APPEND,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
ARRAY_CAT,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
ARRAY_DIMS,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
ARRAY_FILL,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
ARRAY_LENGTH,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
ARRAY_LOWER,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
ARRAY_NDIMS,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
ARRAY_POSITION,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
ARRAY_POSITIONS,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
ARRAY_PREPEND,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
ARRAY_REMOVE,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
ARRAY_REPLACE,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
ARRAY_SAMPLE,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
ARRAY_SHUFFLE,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
ARRAY_TO_JSON,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
ARRAY_TO_STRING,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
ARRAY_TO_TSVECTOR,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ARRAY_UPPER,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
ASCII,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
ASIN,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
ASIND,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ASINH,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ATAN,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
ATAN2,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
ATAN2D,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ATAND,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ATANH,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
AVG,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
BIT_AND,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
BIT_COUNT,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
BIT_LENGTH,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
BIT_OR,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
BIT_XOR,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
BOOL_AND,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
BOOL_OR,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
BOUND_BOX,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
BOX,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
BOX_INTERSECT,NOK,NOK,N,N,S,N,N,N,N,N,N,N,N,N
BRIN_DESUMMARIZE_RANGE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
BRIN_SUMMARIZE_NEW_VALUES,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
BRIN_SUMMARIZE_RANGE,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
BROADCAST,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
BTRIM,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
CARDINALITY,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
CASE,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
CBRT,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
CEIL,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
CEILING,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
CENTER,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
CHAR_LENGTH,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
CHARACTER_LENGTH,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
CHR,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
CIRCLE,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
CLOCK_TIMESTAMP,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
COALESCE,OK,OK,S,S,S,S,S,S,S,S,S,S,S,S
COL_DESCRIPTION,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
COLLATION FOR,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
CONCAT,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
CONCAT_WS,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
CONVERT,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
CONVERT_FROM,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
CONVERT_TO,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
CORR,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
COS,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
COSD,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
COSH,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
COT,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
COTD,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
COUNT,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
COVAR_POP,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
COVAR_SAMP,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
CUME_DIST,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
CURRENT_CATALOG,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
CURRENT_DATABASE,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
CURRENT_DATE,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
CURRENT_QUERY,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
CURRENT_ROLE,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
CURRENT_SCHEMA,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
CURRENT_SCHEMAS,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
CURRENT_SETTING,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
CURRENT_TIME,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
CURRENT_TIMESTAMP,OK,OK,S,S,S,S,S,S,S,S,S,S,S,S
CURRENT_USER,OK,OK,S,S,S,S,S,S,S,S,S,S,S,S
CURRVAL,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
CURSOR_TO_XML,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
CURSOR_TO_XMLSCHEMA,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
DATABASE_TO_XML,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
DATABASE_TO_XML_AND_XMLSCHEMA,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
DATABASE_TO_XMLSCHEMA,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
DATE_ADD,OK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
DATE_BIN,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
DATE_PART,OK,OK,S,S,S,S,S,S,S,S,S,S,S,S
DATE_SUBTRACT,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
DATE_TRUNC,OK,OK,S,S,S,S,S,S,S,S,S,S,S,S
DECODE,OK,OK,N,N,S,N,N,S,S,S,S,S,S,S
DEGREES,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
DENSE_RANK,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
DIAGONAL,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
DIAMETER,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
DIV,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ENCODE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
ENUM_FIRST,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ENUM_LAST,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ENUM_RANGE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
ERF,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
ERFC,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
EVERY,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
EXP,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
EXTRACT,OK,OK,S,S,S,S,S,S,S,S,S,S,S,S
FACTORIAL,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
FAMILY,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
FIRST_VALUE,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
FLOOR,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
FORMAT,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
FORMAT_TYPE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
GCD,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
GEN_RANDOM_UUID,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
GENERATE_SERIES,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
GENERATE_SUBSCRIPTS,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
GET_BIT,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
GET_BYTE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
GET_CURRENT_TS_CONFIG,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
GETTIMEOFDAY,NOK,NOK,S,S,N,N,N,N,N,N,N,N,N,N
GIN_CLEAN_PENDING_LIST,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
GREATEST,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
GROUPING,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
HAS_ANY_COLUMN_PRIVILEGE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
HAS_COLUMN_PRIVILEGE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
HAS_DATABASE_PRIVILEGE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
HAS_FOREIGN_DATA_WRAPPER_PRIVILEGE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
HAS_FUNCTION_PRIVILEGE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
HAS_LANGUAGE_PRIVILEGE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
HAS_PARAMETER_PRIVILEGE,NOK,NOK,N,N,N,N,N,N,N,N,N,S,S,S
HAS_SCHEMA_PRIVILEGE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
HAS_SEQUENCE_PRIVILEGE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
HAS_SERVER_PRIVILEGE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
HAS_TABLE_PRIVILEGE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
HAS_TABLESPACE_PRIVILEGE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
HAS_TYPE_PRIVILEGE,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
HEIGHT,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
HOST,OK,OK,S,S,S,S,S,S,S,S,S,S,S,S
HOSTMASK,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
ICU_UNICODE_VERSION,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
IFNULL,OK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
