FUNCAO,STATUS,Dialect,6,7,8,9,10,11,12,13,14,15,16,17
PG_ADVISORY_LOCK,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_ADVISORY_LOCK_SHARED,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_ADVISORY_UNLOCK,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_ADVISORY_UNLOCK_ALL,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_ADVISORY_UNLOCK_SHARED,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_ADVISORY_XACT_LOCK,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_ADVISORY_XACT_LOCK_SHARED,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_AVAILABLE_WAL_SUMMARIES,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
PG_BACKEND_PID,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_BACKUP_START,NOK,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_BACKUP_START_TIME,NOK,NOK,N,N,N,N,S,S,S,S,S,N,N,N
PG_BACKUP_STOP,NOK,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_BASETYPE,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
PG_BLOCKING_PIDS,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CANCEL_BACKEND,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_CHAR_TO_ENCODING,NOK,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_CLIENT_ENCODING,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_COLLATION_ACTUAL_VERSION,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_COLLATION_IS_VISIBLE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_COLUMN_COMPRESSION,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
PG_COLUMN_SIZE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_COLUMN_TOAST_CHUNK_ID,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
PG_CONF_LOAD_TIME,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_CONTROL_CHECKPOINT,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CONTROL_INIT,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CONTROL_RECOVERY,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CONTROL_SYSTEM,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CONVERSION_IS_VISIBLE,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
PG_COPY_LOGICAL_REPLICATION_SLOT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_COPY_PHYSICAL_REPLICATION_SLOT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_CREATE_LOGICAL_REPLICATION_SLOT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_CREATE_PHYSICAL_REPLICATION_SLOT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_CREATE_RESTORE_POINT,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CURRENT_LOGFILE,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CURRENT_SNAPSHOT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_CURRENT_WAL_FLUSH_LSN,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CURRENT_WAL_INSERT_LSN,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CURRENT_WAL_LSN,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CURRENT_XACT_ID,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_CURRENT_XACT_ID_IF_ASSIGNED,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_CURRENT_XLOG_INSERT_LOCATION,NOK,NOK,N,N,N,S,N,N,N,N,N,N,N,N
PG_CURRENT_XLOG_LOCATION,NOK,NOK,N,N,N,S,N,N,N,N,N,N,N,N
PG_DATABASE_COLLATION_ACTUAL_VERSION,NOK,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_DATABASE_SIZE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_DESCRIBE_OBJECT,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_DROP_REPLICATION_SLOT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_ENCODING_TO_CHAR,NOK,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_EVENT_TRIGGER_DDL_COMMANDS,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_EVENT_TRIGGER_DROPPED_OBJECTS,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_EVENT_TRIGGER_TABLE_REWRITE_OID,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_EVENT_TRIGGER_TABLE_REWRITE_REASON,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_EXPORT_SNAPSHOT,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_FILENODE_RELATION,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_FUNCTION_IS_VISIBLE,NOK,NOK,N,N,S,N,N,S,S,S,S,S,S,S
PG_GET_CATALOG_FOREIGN_KEYS,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
PG_GET_CONSTRAINTDEF,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_EXPR,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_FUNCTION_ARGUMENTS,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_GET_FUNCTION_IDENTITY_ARGUMENTS,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_GET_FUNCTION_RESULT,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_GET_FUNCTIONDEF,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_GET_INDEXDEF,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_KEYWORDS,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_GET_MULTIXACT_MEMBERS,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_GET_OBJECT_ADDRESS,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_GET_OWNED_SEQUENCE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_GET_PARTITION_CONSTRAINTDEF,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
PG_GET_PARTKEYDEF,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
PG_GET_RULEDEF,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_SERIAL_SEQUENCE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_STATISTICSOBJDEF,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_GET_TRIGGERDEF,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_USERBYID,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_VIEWDEF,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_WAL_REPLAY_PAUSE_STATE,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
PG_GET_WAL_RESOURCE_MANAGERS,NOK,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_GET_WAL_SUMMARIZER_STATE,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
PG_HAS_ROLE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_IDENTIFY_OBJECT,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_IDENTIFY_OBJECT_AS_ADDRESS,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_IMPORT_SYSTEM_COLLATIONS,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_INDEX_COLUMN_HAS_PROPERTY,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_INDEX_HAS_PROPERTY,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_INDEXAM_HAS_PROPERTY,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_INDEXES_SIZE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_INPUT_ERROR_INFO,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
PG_INPUT_IS_VALID,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
PG_IS_IN_BACKUP,NOK,NOK,N,N,N,N,S,S,S,S,S,N,N,N
PG_IS_IN_RECOVERY,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_IS_OTHER_TEMP_SCHEMA,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_IS_WAL_REPLAY_PAUSED,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_JIT_AVAILABLE,NOK,NOK,N,N,N,N,N,S,S,S,S,S,S,S
PG_LAST_COMMITTED_XACT,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_LAST_WAL_RECEIVE_LSN,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_LAST_WAL_REPLAY_LSN,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_LAST_XACT_REPLAY_TIMESTAMP,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_LAST_XLOG_RECEIVE_LOCATION,NOK,NOK,N,N,N,S,N,N,N,N,N,N,N,N
PG_LAST_XLOG_REPLAY_LOCATION,NOK,NOK,N,N,N,S,N,N,N,N,N,N,N,N
PG_LISTENING_CHANNELS,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_LOG_BACKEND_MEMORY_CONTEXTS,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
PG_LOG_STANDBY_SNAPSHOT,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
PG_LOGICAL_EMIT_MESSAGE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_LOGICAL_SLOT_GET_BINARY_CHANGES,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_LOGICAL_SLOT_GET_CHANGES,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_LOGICAL_SLOT_PEEK_BINARY_CHANGES,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_LOGICAL_SLOT_PEEK_CHANGES,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_LS_ARCHIVE_STATUSDIR,NOK,NOK,N,N,N,N,N,N,S,S,S,S,S,S
PG_LS_DIR,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_LS_LOGDIR,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_LS_LOGICALMAPDIR,NOK,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_LS_LOGICALSNAPDIR,NOK,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_LS_REPLSLOTDIR,NOK,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_LS_TMPDIR,NOK,NOK,N,N,N,N,N,N,S,S,S,S,S,S
PG_LS_WALDIR,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_MCV_LIST_ITEMS,NOK,NOK,N,N,N,N,N,N,S,S,S,S,S,S
PG_MY_TEMP_SCHEMA,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_NOTIFICATION_QUEUE_USAGE,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_OPCLASS_IS_VISIBLE,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
PG_OPERATOR_IS_VISIBLE,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
PG_OPFAMILY_IS_VISIBLE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_OPTIONS_TO_TABLE,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_PARTITION_ANCESTORS,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_PARTITION_ROOT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_PARTITION_TREE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_POSTMASTER_START_TIME,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_PROMOTE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_READ_BINARY_FILE,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_READ_FILE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_RELATION_FILENODE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_RELATION_FILEPATH,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_RELATION_SIZE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_RELOAD_CONF,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_REPLICATION_ORIGIN_ADVANCE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_REPLICATION_ORIGIN_CREATE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_REPLICATION_ORIGIN_DROP,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_REPLICATION_ORIGIN_OID,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_REPLICATION_ORIGIN_PROGRESS,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_REPLICATION_ORIGIN_SESSION_IS_SETUP,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_REPLICATION_ORIGIN_SESSION_PROGRESS,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_REPLICATION_ORIGIN_SESSION_RESET,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_REPLICATION_ORIGIN_SESSION_SETUP,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_REPLICATION_ORIGIN_XACT_RESET,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_REPLICATION_ORIGIN_XACT_SETUP,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_REPLICATION_SLOT_ADVANCE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_ROTATE_LOGFILE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_SAFE_SNAPSHOT_BLOCKING_PIDS,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_SETTINGS_GET_FLAGS,NOK,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_SIZE_BYTES,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_SIZE_PRETTY,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_SLEEP,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_SLEEP_FOR,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_SLEEP_UNTIL,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_SNAPSHOT_XIP,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_SNAPSHOT_XMAX,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_SNAPSHOT_XMIN,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_SPLIT_WALFILE_NAME,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
PG_START_BACKUP,NOK,NOK,N,N,S,S,S,S,S,S,S,N,N,N
PG_STAT_FILE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_STATISTICS_OBJ_IS_VISIBLE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_STOP_BACKUP,NOK,NOK,N,N,S,S,S,S,S,S,S,N,N,N
PG_SWITCH_WAL,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_SWITCH_XLOG,NOK,NOK,N,N,N,S,N,N,N,N,N,N,N,N
PG_SYNC_REPLICATION_SLOTS,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
PG_TABLE_IS_VISIBLE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_TABLE_SIZE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_TABLESPACE_DATABASES,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_TABLESPACE_LOCATION,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_TABLESPACE_SIZE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_TERMINATE_BACKEND,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_TOTAL_RELATION_SIZE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_TRIGGER_DEPTH,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_TRY_ADVISORY_LOCK,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_TRY_ADVISORY_LOCK_SHARED,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_TRY_ADVISORY_XACT_LOCK,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_TRY_ADVISORY_XACT_LOCK_SHARED,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_TS_CONFIG_IS_VISIBLE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_TS_DICT_IS_VISIBLE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_TS_PARSER_IS_VISIBLE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_TS_TEMPLATE_IS_VISIBLE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_TYPE_IS_VISIBLE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_TYPEOF,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_VISIBLE_IN_SNAPSHOT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_WAL_LSN_DIFF,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_WAL_REPLAY_PAUSE,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_WAL_REPLAY_RESUME,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_WAL_SUMMARY_CONTENTS,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
PG_WALFILE_NAME,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_WALFILE_NAME_OFFSET,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_XACT_COMMIT_TIMESTAMP,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_XACT_COMMIT_TIMESTAMP_ORIGIN,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
PG_XACT_STATUS,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_XLOGFILE_NAME,NOK,NOK,N,N,N,S,N,N,N,N,N,N,N,N
PG_XLOGFILE_NAME_OFFSET,NOK,NOK,N,N,N,S,N,N,N,N,N,N,N,N
