FUNCAO,STATUS,7,8,9,10,11,12,18,19,21,23
NVL,OK,S,S,S,S,S,S,S,S,S,S
COALESCE,OK,S,S,S,S,S,S,S,S,S,S
NULLIF,OK,S,S,S,S,S,S,S,S,S,S
SYSDATE,OK,S,S,S,S,S,S,S,S,S,S
LISTAGG,OK,S,S,S,S,S,S,S,S,S,S
JSON_VALUE,OK,S,S,S,S,S,S,S,S,S,S
JSON_VALUE RETURNING,OK,S,S,S,S,S,S,S,S,S,S
JSON_TABLE,NOK,N,N,N,N,N,S,S,S,S,S
NEXTVAL,OK,S,S,S,S,S,S,S,S,S,S
CURRVAL,OK,S,S,S,S,S,S,S,S,S,S
seq.NEXTVAL,OK,S,S,S,S,S,S,S,S,S,S
seq.CURRVAL,OK,S,S,S,S,S,S,S,S,S,S
ROW_NUMBER,OK,N,S,S,S,S,S,S,S,S,S
RANK,OK,N,S,S,S,S,S,S,S,S,S
DENSE_RANK,OK,N,S,S,S,S,S,S,S,S,S
NTILE,OK,N,S,S,S,S,S,S,S,S,S
PERCENT_RANK,OK,N,S,S,S,S,S,S,S,S,S
CUME_DIST,OK,N,S,S,S,S,S,S,S,S,S
LAG,OK,N,S,S,S,S,S,S,S,S,S
LEAD,OK,N,S,S,S,S,S,S,S,S,S
FIRST_VALUE,OK,N,S,S,S,S,S,S,S,S,S
LAST_VALUE,OK,N,S,S,S,S,S,S,S,S,S
NTH_VALUE,OK,N,S,S,S,S,S,S,S,S,S
