"FUNCAO","STATUS","Dialect","7","8","9","10","11","12","18","19","21","23"
"ABS",OK,OK,S,S,S,S,S,S,S,S,S,S
"ACOS",OK,OK,S,S,S,S,S,S,S,S,S,S
"ADD_MONTHS",OK,OK,S,S,S,S,S,S,S,S,S,S
"APPROX_COUNT_DISTINCT",OK,OK,N,N,N,N,N,S,S,S,S,S
"APPROX_COUNT_DISTINCT_AGG",OK,OK,N,N,N,N,N,N,S,S,S,S
"APPROX_COUNT_DISTINCT_DETAIL",OK,OK,N,N,N,N,N,N,S,S,S,S
"APPROX_MEDIAN",OK,OK,N,N,N,N,N,N,S,S,S,S
"APPROX_PERCENTILE",OK,OK,N,N,N,N,N,N,S,S,S,S
"APPROX_PERCENTILE_AGG",OK,OK,N,N,N,N,N,N,S,S,S,S
"APPROX_PERCENTILE_DETAIL",OK,OK,N,N,N,N,N,N,S,S,S,S
"ASCII",OK,OK,S,S,S,S,S,S,S,S,S,S
"ASCIISTR",OK,NOK,N,N,S,S,S,S,S,S,S,S
"ASIN",OK,OK,S,S,S,S,S,S,S,S,S,S
"ATAN",OK,OK,S,S,S,S,S,S,S,S,S,S
"ATAN2",OK,OK,S,S,S,S,S,S,S,S,S,S
"AVG",OK,OK,S,S,S,S,S,S,S,S,S,S
"BFILENAME",OK,OK,S,S,S,S,S,S,S,S,S,S
"BIN_TO_NUM",OK,NOK,N,N,S,S,S,S,S,S,S,S
"BITAND",OK,NOK,N,S,S,S,S,S,S,S,S,S
"CARDINALITY",OK,NOK,N,N,N,S,S,S,S,S,S,S
"CAST",OK,NOK,N,N,S,S,S,S,S,S,S,S
"CEIL",OK,OK,S,S,S,S,S,S,S,S,S,S
"CHARTOROWID",OK,OK,S,S,S,S,S,S,S,S,S,S
"CHR",OK,OK,S,S,S,S,S,S,S,S,S,S
"CLUSTER_DETAILS",OK,OK,N,N,N,N,N,S,S,S,S,S
"CLUSTER_DISTANCE",OK,OK,N,N,N,N,N,S,S,S,S,S
"CLUSTER_ID",OK,OK,N,N,N,S,S,S,S,S,S,S
"CLUSTER_PROBABILITY",OK,OK,N,N,N,S,S,S,S,S,S,S
"CLUSTER_SET",OK,OK,N,N,N,S,S,S,S,S,S,S
"COALESCE",OK,NOK,N,N,S,S,S,S,S,S,S,S
"COLLATION",OK,OK,N,N,N,N,N,N,S,S,S,S
"COLLECT",OK,NOK,N,N,N,S,S,S,S,S,S,S
"COMPOSE",OK,NOK,N,N,S,S,S,S,S,S,S,S
"CON_DBID_TO_ID",OK,OK,N,N,N,N,N,S,S,S,S,S
"CON_GUID_TO_ID",OK,OK,N,N,N,N,N,S,S,S,S,S
"CON_NAME_TO_ID",OK,OK,N,N,N,N,N,S,S,S,S,S
"CON_UID_TO_ID",OK,OK,N,N,N,N,N,S,S,S,S,S
"CONCAT",OK,OK,S,S,S,S,S,S,S,S,S,S
"CONVERT",OK,OK,S,S,S,S,S,S,S,S,S,S
"CORR",OK,NOK,N,S,S,S,S,S,S,S,S,S
"CORR_K",OK,NOK,N,N,N,S,S,S,S,S,S,S
"CORR_S",OK,NOK,N,N,N,S,S,S,S,S,S,S
"COS",OK,OK,S,S,S,S,S,S,S,S,S,S
"COSH",OK,OK,S,S,S,S,S,S,S,S,S,S
"COUNT",OK,OK,S,S,S,S,S,S,S,S,S,S
"COVAR_POP",OK,NOK,N,S,S,S,S,S,S,S,S,S
"COVAR_SAMP",OK,NOK,N,S,S,S,S,S,S,S,S,S
"CUBE_TABLE",OK,NOK,N,N,N,N,S,S,S,S,S,S
"CUME_DIST",OK,NOK,N,S,S,S,S,S,S,S,S,S
"CURRENT_DATE",OK,NOK,N,N,S,S,S,S,S,S,S,S
"CURRENT_TIMESTAMP",OK,NOK,N,N,S,S,S,S,S,S,S,S
"CV",OK,NOK,N,N,N,S,S,S,S,S,S,S
"DATAOBJ_TO_MAT_PARTITION",OK,NOK,N,N,N,N,N,S,S,S,S,S
"DATAOBJ_TO_PARTITION",OK,NOK,N,N,N,N,S,S,S,S,S,S
"DBTIMEZONE",OK,NOK,N,N,S,S,S,S,S,S,S,S
"DECODE",OK,NOK,N,N,S,S,S,S,S,S,S,S
"DECOMPOSE",OK,NOK,N,N,S,S,S,S,S,S,S,S
"DENSE_RANK",OK,NOK,N,S,S,S,S,S,S,S,S,S
"DEPTH",OK,NOK,N,N,S,S,S,S,S,S,S,S
"DEREF",OK,OK,S,S,S,S,S,S,S,S,S,S
