FUNCAO,STATUS,Dialect,2008,2012,2014,2016,2017,2019,2022,2025
@@CONNECTIONS,NOK,NOK,S,S,S,S,S,S,S,S
@@CPU_BUSY,NOK,NOK,S,S,S,S,S,S,S,S
@@CURSOR_ROWS,NOK,NOK,S,S,S,S,S,S,S,S
@@DATEFIRST,NOK,NOK,S,S,S,S,S,S,S,S
@@DBTS,NOK,NOK,S,S,S,S,S,S,S,S
@@ERROR,NOK,NOK,S,S,S,S,S,S,S,S
@@FETCH_STATUS,NOK,NOK,S,S,S,S,S,S,S,S
@@IDENTITY,NOK,NOK,S,S,S,S,S,S,S,S
@@IDLE,NOK,NOK,S,S,S,S,S,S,S,S
@@IO_BUSY,NOK,NOK,S,S,S,S,S,S,S,S
@@LANGID,NOK,NOK,S,S,S,S,S,S,S,S
@@LANGUAGE,NOK,NOK,S,S,S,S,S,S,S,S
@@LOCK_TIMEOUT,NOK,NOK,S,S,S,S,S,S,S,S
@@MAX_CONNECTIONS,NOK,NOK,S,S,S,S,S,S,S,S
@@MAX_PRECISION,NOK,NOK,S,S,S,S,S,S,S,S
@@NESTLEVEL,NOK,NOK,S,S,S,S,S,S,S,S
@@OPTIONS,NOK,NOK,S,S,S,S,S,S,S,S
@@PACK_RECEIVED,NOK,NOK,S,S,S,S,S,S,S,S
@@PACK_SENT,NOK,NOK,S,S,S,S,S,S,S,S
@@PACKET_ERRORS,NOK,NOK,S,S,S,S,S,S,S,S
@@PROCID,NOK,NOK,S,S,S,S,S,S,S,S
@@REMSERVER,NOK,NOK,S,S,S,S,S,S,S,S
@@ROWCOUNT,OK,NOK,S,S,S,S,S,S,S,S
@@SERVERNAME,NOK,NOK,S,S,S,S,S,S,S,S
@@SERVICENAME,NOK,NOK,S,S,S,S,S,S,S,S
@@SPID,NOK,NOK,S,S,S,S,S,S,S,S
@@TEXTSIZE,NOK,NOK,S,S,S,S,S,S,S,S
@@TIMETICKS,NOK,NOK,S,S,S,S,S,S,S,S
@@TOTAL_ERRORS,NOK,NOK,S,S,S,S,S,S,S,S
@@TOTAL_READ,NOK,NOK,S,S,S,S,S,S,S,S
@@TOTAL_WRITE,NOK,NOK,S,S,S,S,S,S,S,S
@@TRANCOUNT,NOK,NOK,S,S,S,S,S,S,S,S
@@VERSION,NOK,NOK,S,S,S,S,S,S,S,S
$PARTITION,NOK,NOK,S,S,S,S,S,S,S,S
