FUNCAO,STATUS,Dialect,7,2000,2005,2008,2012,2014,2016,2017,2019,2022
@@ROWCOUNT,OK,OK,S,S,S,S,S,S,S,S,S,S
@@TEXTSIZE,NOK,NOK,S,S,S,S,S,S,S,S,S,S
@@IDENTITY,NOK,NOK,S,S,S,S,S,S,S,S,S,S
@@DATEFIRST,NOK,NOK,S,S,S,S,S,S,S,S,S,S
@@MAX_PRECISION,NOK,NOK,S,S,S,S,S,S,S,S,S,S
ABS,OK,OK,S,S,S,S,S,S,S,S,S,S
ACOS,OK,OK,S,S,S,S,S,S,S,S,S,S
APP_NAME,OK,OK,S,S,S,S,S,S,S,S,S,S
APPLOCK_MODE,NOK,NOK,S,S,S,S,S,S,S,S,S,S
APPLOCK_TEST,NOK,NOK,S,S,S,S,S,S,S,S,S,S
APPROX_COUNT_DISTINCT,NOK,NOK,N,N,N,N,N,N,N,N,S,S
ASCII,OK,OK,S,S,S,S,S,S,S,S,S,S
ASIN,OK,OK,S,S,S,S,S,S,S,S,S,S
ASSEMBLYPROPERTY,NOK,NOK,S,S,S,S,S,S,S,S,S,S
ATAN,OK,OK,S,S,S,S,S,S,S,S,S,S
ATN2,OK,OK,S,S,S,S,S,S,S,S,S,S
AVG,OK,OK,S,S,S,S,S,S,S,S,S,S
BINARY_CHECKSUM,NOK,NOK,S,S,S,S,S,S,S,S,S,S
BUILT-IN FUNCTIONS,NOK,NOK,S,S,S,S,S,S,S,S,S,S
CAST AND CONVERT,NOK,NOK,S,S,S,S,S,S,S,S,S,S
CEILING,OK,OK,S,S,S,S,S,S,S,S,S,S
CERTENCODED,NOK,NOK,S,S,S,S,S,S,S,S,S,S
CERTPRIVATEKEY,NOK,NOK,S,S,S,S,S,S,S,S,S,S
CHAR,OK,OK,S,S,S,S,S,S,S,S,S,S
CHARINDEX,OK,OK,S,S,S,S,S,S,S,S,S,S
CHECKSUM,NOK,NOK,S,S,S,S,S,S,S,S,S,S
CHECKSUM_AGG,NOK,NOK,S,S,S,S,S,S,S,S,S,S
COL_LENGTH,NOK,NOK,S,S,S,S,S,S,S,S,S,S
COL_NAME,NOK,NOK,S,S,S,S,S,S,S,S,S,S
COLUMNPROPERTY,NOK,NOK,S,S,S,S,S,S,S,S,S,S
COMPRESS,NOK,NOK,N,N,N,N,N,N,S,S,S,S
CONCAT,OK,OK,N,N,N,N,S,S,S,S,S,S
CONCAT_WS,OK,OK,N,N,N,N,N,N,N,S,S,S
CONNECTIONPROPERTY,NOK,NOK,S,S,S,S,S,S,S,S,S,S
CONTEXT_INFO,NOK,NOK,S,S,S,S,S,S,S,S,S,S
COS,OK,OK,S,S,S,S,S,S,S,S,S,S
COT,OK,OK,S,S,S,S,S,S,S,S,S,S
COUNT,OK,OK,S,S,S,S,S,S,S,S,S,S
COUNT_BIG,OK,OK,S,S,S,S,S,S,S,S,S,S
CRYPTOGRAPHIC FUNCTIONS,NOK,NOK,S,S,S,S,S,S,S,S,S,S
CUME_DIST,OK,OK,N,N,N,N,S,S,S,S,S,S
CURRENT_REQUEST_ID,NOK,NOK,S,S,S,S,S,S,S,S,S,S
CURRENT_TIMESTAMP,OK,OK,S,S,S,S,S,S,S,S,S,S
CURRENT_TRANSACTION_ID,NOK,NOK,S,S,S,S,S,S,S,S,S,S
CURRENT_USER,OK,OK,S,S,S,S,S,S,S,S,S,S
CURSOR_STATUS,NOK,NOK,S,S,S,S,S,S,S,S,S,S
DATABASE_PRINCIPAL_ID,NOK,NOK,S,S,S,S,S,S,S,S,S,S
DATABASEPROPERTYEX,NOK,NOK,S,S,S,S,S,S,S,S,S,S
DATALENGTH,OK,OK,S,S,S,S,S,S,S,S,S,S
DATEADD,OK,OK,S,S,S,S,S,S,S,S,S,S
DATEDIFF,OK,OK,S,S,S,S,S,S,S,S,S,S
DATEDIFF_BIG,OK,OK,S,S,S,S,S,S,S,S,S,S
DATEFROMPARTS,OK,OK,N,N,N,N,S,S,S,S,S,S
DATENAME,OK,OK,S,S,S,S,S,S,S,S,S,S
DATEPART,OK,OK,S,S,S,S,S,S,S,S,S,S
DATETIME2FROMPARTS,OK,OK,N,N,N,N,S,S,S,S,S,S
DATETIMEFROMPARTS,OK,OK,N,N,N,N,S,S,S,S,S,S
DATETIMEOFFSETFROMPARTS,OK,OK,N,N,N,N,S,S,S,S,S,S
DAY,OK,OK,S,S,S,S,S,S,S,S,S,S
DB_ID,OK,OK,S,S,S,S,S,S,S,S,S,S
