FUNCAO,STATUS,Dialect,3
->,OK,NOK,S
->>,OK,NOK,S
ABS,OK,NOK,S
ACOS,OK,NOK,S
ACOSH,OK,NOK,S
ASIN,OK,NOK,S
ASINH,OK,NOK,S
ATAN,OK,NOK,S
ATAN2,OK,NOK,S
ATANH,OK,NOK,S
AVG,OK,NOK,S
CAST(STRFTIME('%J', ...) AS REAL),OK,NOK,S
CAST(STRFTIME('%S', ...) AS INT),OK,NOK,S
CEIL,OK,NOK,S
CEILING,OK,NOK,S
CHANGES,OK,NOK,S
CHAR,OK,NOK,S
COALESCE,OK,NOK,S
CONCAT,OK,NOK,S
CONCAT_WS,OK,NOK,S
COS,OK,NOK,S
COSH,OK,NOK,S
COUNT,OK,NOK,S
CUME_DIST,OK,NOK,S
DATE,OK,NOK,S
DATETIME,OK,NOK,S
DEGREES,OK,NOK,S
DENSE_RANK,OK,NOK,S
EXP,OK,NOK,S
FIRST_VALUE,OK,NOK,S
FLOOR,OK,NOK,S
FORMAT,OK,NOK,S
GLOB,OK,NOK,S
GROUP_CONCAT,OK,NOK,S
HEX,OK,NOK,S
IF,OK,NOK,S
IFNULL,OK,NOK,S
IIF,OK,NOK,S
INSTR,OK,NOK,S
JSON,OK,NOK,S
JSON_ARRAY,OK,NOK,S
JSON_ARRAY_INSERT,OK,NOK,S
JSON_ARRAY_LENGTH,OK,NOK,S
JSON_ARRAY(1,NULL,'3',JSON('[4,5]'),JSON('{"SIX":7.7}')),OK,NOK,S
JSON_ARRAY(JSON_ARRAY(1,2)),OK,NOK,S
JSON_EACH,OK,NOK,S
JSON_ERROR_POSITION,OK,NOK,S
JSON_EXTRACT,OK,NOK,S
JSON_GROUP_OBJECT,OK,NOK,S
JSON_INSERT,OK,NOK,S
JSON_OBJECT,OK,NOK,S
JSON_OBJECT('A',2,'C',JSON_OBJECT('E',5)),OK,NOK,S
JSON_OBJECT('EX',('[52,3.14159]'->>'$')),OK,NOK,S
JSON_OBJECT('EX',JSON_ARRAY(52,3.14159)),OK,NOK,S
JSON_OBJECT('EX',JSON('[52,3.14159]')),OK,NOK,S
JSON_PATCH,OK,NOK,S
JSON_QUOTE,OK,NOK,S
JSON_QUOTE(JSON('[1]')),OK,NOK,S
JSON_REMOVE,OK,NOK,S
JSON_REPLACE,OK,NOK,S
JSON_SET,OK,NOK,S
JSON_SET('{"A":2,"C":4}', '$.C', JSON_ARRAY(97,96)),OK,NOK,S
JSON_SET('{"A":2,"C":4}', '$.C', JSON('[97,96]')),OK,NOK,S
JSON_TREE,OK,NOK,S
JSON_TYPE,OK,NOK,S
JSON_VALID,OK,NOK,S
JSONB_EACH,OK,NOK,S
JSONB_EXTRACT,OK,NOK,S
JSONB_TREE,OK,NOK,S
JULIANDAY,OK,NOK,S
LAG,OK,NOK,S
LAST_INSERT_ROWID,OK,NOK,S
LAST_VALUE,OK,NOK,S
LEAD,OK,NOK,S
LENGTH,OK,NOK,S
LIKE,OK,NOK,S
LIKELIHOOD,OK,NOK,S
LIKELY,OK,NOK,S
LN,OK,NOK,S
LOAD_EXTENSION,OK,NOK,S
LOG,OK,NOK,S
LOG10,OK,NOK,S
LOG2,OK,NOK,S
LOWER,OK,NOK,S
LTRIM,OK,NOK,S
MAX,OK,NOK,S
MEDIAN,OK,NOK,S
MIN,OK,NOK,S
MOD,OK,NOK,S
NTH_VALUE,OK,NOK,S
NTILE,OK,NOK,S
NULLIF,OK,NOK,S
OCTET_LENGTH,OK,NOK,S
PERCENT_RANK,OK,NOK,S
PERCENTILE,OK,NOK,S
PERCENTILE_CONT,OK,NOK,S
PERCENTILE_DISC,OK,NOK,S
PI,OK,NOK,S
POW,OK,NOK,S
POWER,OK,NOK,S
PRINTF,OK,NOK,S
QUOTE,OK,NOK,S
RADIANS,OK,NOK,S
RANDOM,OK,NOK,S
RANDOMBLOB,OK,NOK,S
RANK,OK,NOK,S
READFILE,OK,NOK,S
REPLACE,OK,NOK,S
ROUND,OK,NOK,S
ROW_NUMBER,OK,NOK,S
RTRIM,OK,NOK,S
SIGN,OK,NOK,S
SIN,OK,NOK,S
SINH,OK,NOK,S
SOUNDEX,OK,NOK,S
SQLITE_COMPILEOPTION_GET,OK,NOK,S
SQLITE_COMPILEOPTION_USED,OK,NOK,S
SQLITE_OFFSET,OK,NOK,S
SQLITE_SOURCE_ID,OK,NOK,S
SQLITE_VERSION,OK,NOK,S
SQLITE3_CHANGES64,OK,NOK,S
SQLITE3_COMPILEOPTION_GET,OK,NOK,S
SQLITE3_COMPILEOPTION_USED,OK,NOK,S
SQLITE3_CREATE_FUNCTION,OK,NOK,S
SQLITE3_CREATE_WINDOW_FUNCTION,OK,NOK,S
SQLITE3_ENABLE_LOAD_EXTENSION,OK,NOK,S
SQLITE3_LAST_INSERT_ROWID,OK,NOK,S
SQLITE3_LIBVERSION,OK,NOK,S
SQLITE3_LOAD_EXTENSION,OK,NOK,S
SQLITE3_MPRINTF,OK,NOK,S
SQLITE3_RESULT_ZEROBLOB,OK,NOK,S
SQLITE3_SOURCEID,OK,NOK,S
SQLITE3_STEP,OK,NOK,S
SQLITE3_TOTAL_CHANGES64,OK,NOK,S
SQRT,OK,NOK,S
STRFTIME,OK,NOK,S
STRING_AGG,OK,NOK,S
SUBSTR,OK,NOK,S
SUBSTRING,OK,NOK,S
SUM,OK,NOK,S
TAN,OK,NOK,S
TANH,OK,NOK,S
TIME,OK,NOK,S
TIMEDIFF,OK,NOK,S
TOTAL,OK,NOK,S
TOTAL_CHANGES,OK,NOK,S
TRIM,OK,NOK,S
TRUNC,OK,NOK,S
TYPEOF,OK,NOK,S
UNHEX,OK,NOK,S
UNICODE,OK,NOK,S
UNISTR,OK,NOK,S
UNISTR_QUOTE,OK,NOK,S
UNIXEPOCH,OK,NOK,S
UNLIKELY,OK,NOK,S
UPPER,OK,NOK,S
XFINAL,OK,NOK,S
XINVERSE,OK,NOK,S
XSTEP,OK,NOK,S
XVALUE,OK,NOK,S
ZEROBLOB,OK,NOK,S
