Project,Condition,Package,Version,PrivateAssets,IncludeAssets,ExcludeAssets
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'net48',Dapper,2.1.35,,,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'net48',Microsoft.NET.Test.Sdk,17.13.0,,,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'net48',xunit,2.9.3,,,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'net48',xunit.runner.visualstudio,3.1.5,all,runtime; build; native; contentfiles; analyzers; buildtransitive,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'netstandard2.1',Microsoft.NET.Test.Sdk,17.13.0,,,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'netstandard2.1',xunit,2.9.3,,,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'netstandard2.1',xunit.abstractions,2.0.3,,,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'netstandard2.1',xunit.runner.visualstudio,2.1.0,all,runtime; build; native; contentfiles; analyzers; buildtransitive,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'net6.0',Dapper,2.1.35,,,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'net6.0',Microsoft.NET.Test.Sdk,17.13.0,,,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'net6.0',xunit,2.9.3,,,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'net6.0',xunit.runner.visualstudio,3.0.2,all,runtime; build; native; contentfiles; analyzers; buildtransitive,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'net8.0' Or '$(TargetFramework)' == 'net10.0',Dapper,2.1.66,,,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'net8.0' Or '$(TargetFramework)' == 'net10.0',Microsoft.NET.Test.Sdk,18.0.1,,,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'net8.0' Or '$(TargetFramework)' == 'net10.0',xunit.v3,3.2.2,,,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'net8.0' Or '$(TargetFramework)' == 'net10.0',xunit.v3.extensibility.core,3.2.2,,,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,'$(TargetFramework)' == 'net8.0' Or '$(TargetFramework)' == 'net10.0',xunit.runner.visualstudio,3.1.5,all,runtime; build; native; contentfiles; analyzers; buildtransitive,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,,FluentAssertions,8.8.0,,,
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,,FluentAssertions.Analyzers,0.34.1,,,
src/DbSqlLikeMem.Db2.Dapper.Test/DbSqlLikeMem.Db2.Dapper.Test.csproj,'$(TargetFramework)' == 'net48',Microsoft.NET.Test.Sdk,17.13.0,,,
src/DbSqlLikeMem.Db2.Dapper.Test/DbSqlLikeMem.Db2.Dapper.Test.csproj,'$(TargetFramework)' == 'net48',xunit.runner.visualstudio,3.1.5,all,runtime; build; native; contentfiles; analyzers; buildtransitive,
src/DbSqlLikeMem.Db2.Dapper.Test/DbSqlLikeMem.Db2.Dapper.Test.csproj,'$(TargetFramework)' == 'net6.0',Microsoft.NET.Test.Sdk,17.13.0,,,
src/DbSqlLikeMem.Db2.Dapper.Test/DbSqlLikeMem.Db2.Dapper.Test.csproj,'$(TargetFramework)' == 'net6.0',xunit.runner.visualstudio,3.0.2,all,runtime; build; native; contentfiles; analyzers; buildtransitive,
src/DbSqlLikeMem.Db2.Dapper.Test/DbSqlLikeMem.Db2.Dapper.Test.csproj,'$(TargetFramework)' == 'net8.0' Or '$(TargetFramework)' == 'net10.0',Microsoft.NET.Test.Sdk,18.0.1,,,
src/DbSqlLikeMem.Db2.Dapper.Test/DbSqlLikeMem.Db2.Dapper.Test.csproj,'$(TargetFramework)' == 'net8.0' Or '$(TargetFramework)' == 'net10.0',xunit.runner.visualstudio,3.1.5,all,runtime; build; native; contentfiles; analyzers; buildtransitive,
src/DbSqlLikeMem.Db2.EfCore.Test/DbSqlLikeMem.Db2.EfCore.Test.csproj,'$(TargetFramework)' == 'net6.0',Microsoft.NET.Test.Sdk,17.13.0,,,
src/DbSqlLikeMem.Db2.EfCore.Test/DbSqlLikeMem.Db2.EfCore.Test.csproj,'$(TargetFramework)' == 'net6.0',xunit.runner.visualstudio,3.0.2,all,runtime; build; native; contentfiles; analyzers; buildtransitive,
src/DbSqlLikeMem.Db2.EfCore.Test/DbSqlLikeMem.Db2.EfCore.Test.csproj,'$(TargetFramework)' == 'net8.0' Or '$(TargetFramework)' == 'net10.0',Microsoft.NET.Test.Sdk,18.0.1,,,
src/DbSqlLikeMem.Db2.EfCore.Test/DbSqlLikeMem.Db2.EfCore.Test.csproj,'$(TargetFramework)' == 'net8.0' Or '$(TargetFramework)' == 'net10.0',xunit.runner.visualstudio,3.1.5,all,runtime; build; native; contentfiles; analyzers; buildtransitive,
src/DbSqlLikeMem.Db2.LinqToDb.Test/DbSqlLikeMem.Db2.LinqToDb.Test.csproj,'$(TargetFramework)' == 'net6.0',Microsoft.NET.Test.Sdk,17.13.0,,,
src/DbSqlLikeMem.Db2.LinqToDb.Test/DbSqlLikeMem.Db2.LinqToDb.Test.csproj,'$(TargetFramework)' == 'net6.0',xunit.runner.visualstudio,3.0.2,all,runtime; build; native; contentfiles; analyzers; buildtransitive,
src/DbSqlLikeMem.Db2.LinqToDb.Test/DbSqlLikeMem.Db2.LinqToDb.Test.csproj,'$(TargetFramework)' == 'net8.0' Or '$(TargetFramework)' == 'net10.0',Microsoft.NET.Test.Sdk,18.0.1,,,
src/DbSqlLikeMem.Db2.LinqToDb.Test/DbSqlLikeMem.Db2.LinqToDb.Test.csproj,'$(TargetFramework)' == 'net8.0' Or '$(TargetFramework)' == 'net10.0',xunit.runner.visualstudio,3.1.5,all,runtime; build; native; contentfiles; analyzers; buildtransitive,
src/DbSqlLikeMem.Db2.NHibernate.Test/DbSqlLikeMem.Db2.NHibernate.Test.csproj,'$(TargetFramework)' == 'net6.0',Microsoft.NET.Test.Sdk,17.13.0,,,
src/DbSqlLikeMem.Db2.NHibernate.Test/DbSqlLikeMem.Db2.NHibernate.Test.csproj,'$(TargetFramework)' == 'net6.0',xunit.runner.visualstudio,3.0.2,all,runtime; build; native; contentfiles; analyzers; buildtransitive,
src/DbSqlLikeMem.Db2.NHibernate.Test/DbSqlLikeMem.Db2.NHibernate.Test.csproj,'$(TargetFramework)' == 'net8.0' Or '$(TargetFramework)' == 'net10.0',Microsoft.NET.Test.Sdk,18.0.1,,,
