Project,TargetFrameworks,RuntimeIdentifiers
src/DbSqlLikeMem.Dapper.TestTools/DbSqlLikeMem.Dapper.TestTools.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Db2.Dapper.Test/DbSqlLikeMem.Db2.Dapper.Test.csproj,net10.0;net6.0;net8.0,
src/DbSqlLikeMem.Db2.EfCore.Test/DbSqlLikeMem.Db2.EfCore.Test.csproj,net10.0;net6.0;net8.0,
src/DbSqlLikeMem.Db2.EfCore/DbSqlLikeMem.Db2.EfCore.csproj,net10.0;net6.0;net8.0,
src/DbSqlLikeMem.Db2.LinqToDb.Test/DbSqlLikeMem.Db2.LinqToDb.Test.csproj,net10.0;net6.0;net8.0,
src/DbSqlLikeMem.Db2.LinqToDb/DbSqlLikeMem.Db2.LinqToDb.csproj,net10.0;net6.0;net8.0,
src/DbSqlLikeMem.Db2.MsTest/DbSqlLikeMem.Db2.MsTest.csproj,net10.0;net6.0;net8.0,
src/DbSqlLikeMem.Db2.NHibernate.Test/DbSqlLikeMem.Db2.NHibernate.Test.csproj,net10.0;net6.0;net8.0,
src/DbSqlLikeMem.Db2.NHibernate/DbSqlLikeMem.Db2.NHibernate.csproj,net10.0;net6.0;net8.0,
src/DbSqlLikeMem.Db2.Test/DbSqlLikeMem.Db2.Test.csproj,net10.0;net6.0;net8.0,
src/DbSqlLikeMem.Db2.XUnit/DbSqlLikeMem.Db2.XUnit.csproj,net10.0;net6.0;net8.0,
src/DbSqlLikeMem.Db2/DbSqlLikeMem.Db2.csproj,net10.0;net6.0;net8.0,
src/DbSqlLikeMem.Db2ConsoleGenerator/DbSqlLikeMem.Db2ConsoleGenerator.csproj,net8.0,
src/DbSqlLikeMem.EfCore.TestTools/DbSqlLikeMem.EfCore.TestTools.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.EfCore/DbSqlLikeMem.EfCore.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.LinqToDb.TestTools/DbSqlLikeMem.LinqToDb.TestTools.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.LinqToDb/DbSqlLikeMem.LinqToDb.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.MiniProfiler.TestTools/DbSqlLikeMem.MiniProfiler.TestTools.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.MySql.Dapper.Test/DbSqlLikeMem.MySql.Dapper.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.MySql.EfCore.Test/DbSqlLikeMem.MySql.EfCore.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.MySql.EfCore/DbSqlLikeMem.MySql.EfCore.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.MySql.LinqToDb.Test/DbSqlLikeMem.MySql.LinqToDb.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.MySql.LinqToDb/DbSqlLikeMem.MySql.LinqToDb.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.MySql.MiniProfiler.Test/DbSqlLikeMem.MySql.MiniProfiler.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.MySql.MiniProfiler.XUnit/DbSqlLikeMem.MySql.MiniProfiler.XUnit.csproj,,
src/DbSqlLikeMem.MySql.MiniProfiler/DbSqlLikeMem.MySql.MiniProfiler.csproj,,
src/DbSqlLikeMem.MySql.MsTest/DbSqlLikeMem.MySql.MsTest.csproj,,
src/DbSqlLikeMem.MySql.NHibernate.Test/DbSqlLikeMem.MySql.NHibernate.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.MySql.NHibernate/DbSqlLikeMem.MySql.NHibernate.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.MySql.Test/DbSqlLikeMem.MySql.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.MySql.XUnit/DbSqlLikeMem.MySql.XUnit.csproj,,
src/DbSqlLikeMem.MySql/DbSqlLikeMem.MySql.csproj,,
src/DbSqlLikeMem.MySqlConsoleGenerator/DbSqlLikeMem.MySqlConsoleGenerator.csproj,net8.0,
src/DbSqlLikeMem.NHibernate.TestTools/DbSqlLikeMem.NHibernate.TestTools.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Npgsql.Dapper.Test/DbSqlLikeMem.Npgsql.Dapper.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Npgsql.EfCore.Test/DbSqlLikeMem.Npgsql.EfCore.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Npgsql.EfCore/DbSqlLikeMem.Npgsql.EfCore.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Npgsql.LinqToDb.Test/DbSqlLikeMem.Npgsql.LinqToDb.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Npgsql.LinqToDb/DbSqlLikeMem.Npgsql.LinqToDb.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Npgsql.MsTest/DbSqlLikeMem.Npgsql.MsTest.csproj,,
src/DbSqlLikeMem.Npgsql.NHibernate.Test/DbSqlLikeMem.Npgsql.NHibernate.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Npgsql.NHibernate/DbSqlLikeMem.Npgsql.NHibernate.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Npgsql.Test/DbSqlLikeMem.Npgsql.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Npgsql.XUnit/DbSqlLikeMem.Npgsql.XUnit.csproj,,
src/DbSqlLikeMem.Npgsql/DbSqlLikeMem.Npgsql.csproj,,
src/DbSqlLikeMem.NpgsqlConsoleGenerator/DbSqlLikeMem.NpgsqlConsoleGenerator.csproj,net8.0,
src/DbSqlLikeMem.Oracle.Dapper.Test/DbSqlLikeMem.Oracle.Dapper.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Oracle.EfCore.Test/DbSqlLikeMem.Oracle.EfCore.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Oracle.EfCore/DbSqlLikeMem.Oracle.EfCore.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Oracle.LinqToDb.Test/DbSqlLikeMem.Oracle.LinqToDb.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Oracle.LinqToDb/DbSqlLikeMem.Oracle.LinqToDb.csproj,net10.0;net48;net6.0;net8.0,
